Genome	Accession	RefSeq type	Source information	Number of segments	Genome length	Number of proteins	Genome Neighbors	Host	Date completed	Date updated
Human papillomavirus type 50	NC_001691	complete	-	-	7184 nt	7	1	human	10/17/95	8/13/18
Human papillomavirus type 53	NC_001593	complete	-	-	7856 nt	7	129	human	8/22/93	8/13/18
Human papillomavirus type 54	NC_001676	complete	-	-	7759 nt	7	19	human	10/12/95	8/13/18
Human papillomavirus type 60	NC_001693	complete	-	-	7313 nt	7	-	human	10/18/95	8/13/18
Human papillomavirus type 63	NC_001458	complete	-	-	7348 nt	7	-	human	6/15/93	8/13/18
Human papillomavirus type 6b	NC_001355	complete	strain:type 6b (HPV6b)	-	7902 nt	9	382	"human, vertebrates"	2/20/85	8/13/18
Human papillomavirus type 7	NC_001595	complete	-	-	8027 nt	6	23	human	8/22/93	8/13/18
Human papillomavirus type 85	NC_034616	complete	isolate:114B	-	7812 nt	8	-	human	5/19/17	8/25/18
Human papillomavirus type 88	NC_010329	complete	-	-	7326 nt	7	1	human	2/11/08	8/13/18
Human papillomavirus type 90	NC_004104	complete	serotype:90	-	8033 nt	7	19	"human, vertebrates"	8/5/02	8/13/18
Human papillomavirus type 92	NC_004500	complete	type:92	-	7461 nt	7	2	human	1/7/03	8/13/18
Human papillomavirus type 96	NC_005134	complete	-	-	7438 nt	7	2	human	10/9/03	8/13/18
Human parainfluenza virus 4a	NC_021928	complete	strain:M-25	-	17052 nt	7	43	human	8/6/13	8/13/18
Human parvovirus 4 G1	NC_007018	complete	-	-	5268 nt	2	28	"human, vertebrates"	5/24/05	8/13/18
Human parvovirus B19	NC_000883	complete	isolate:J35	-	5596 nt	6	44	"human, vertebrates"	8/2/99	8/13/18
Human pegivirus 2	NC_027998	complete	isolate:UC0125.US	-	9867 nt	1	18	human	10/8/15	8/13/18
Human picobirnavirus	-	complete	strain:Hy005102	2	4270 nt	3	-	human	5/21/05	8/13/18
Human polyomavirus 6	NC_014406	complete	isolate:607a	-	4926 nt	5	17	human	8/16/10	8/13/18
Human polyomavirus 7	NC_014407	complete	isolate:713a	-	4952 nt	5	15	human	8/16/10	8/13/18
Human polyomavirus 9	NC_015150	complete	isolate:HPyV9	-	5026 nt	5	5	human	3/25/11	8/13/18
Human respirovirus 1	NC_003461	complete	strain:Washington 1964	-	15600 nt	10	56	"human, vertebrates"	3/15/02	8/13/18
Human respirovirus 3	NC_001796	complete	-	-	15462 nt	8	436	"human, vertebrates"	9/1/98	8/13/18
Human rhinovirus NAT001	NC_038878	complete	isolate:NAT001	-	6944 nt	1	361	"human, vertebrates"	8/24/18	8/24/18
Human rotavirus B	-	complete	strain:Bang373	11	17932 nt	13	-	"human, vertebrates"	6/24/13	8/13/18
Human smacovirus 1	NC_026252	complete	isolate:France/12/2008/3454	-	2460 nt	2	12	human	1/26/15	8/13/18
Human stool-associated circular virus NG13	NC_038392	complete	isolate:NG13	-	1699 nt	2	-	human	8/24/18	8/24/18
Husavirus sp.	NC_032480	complete	isolate:16370_59	-	8856 nt	1	2	human	12/29/16	8/13/18
Ilesha virus	-	complete	strain:R5964	3	12298 nt	4	-	"human, invertebrates"	6/28/19	8/22/19
Ilheus virus	NC_009028	complete	strain:Original	-	10755 nt	1	3	"human, invertebrates"	2/20/07	5/24/19
Indian encephalitis associated cyclovirus	NC_032682	complete	isolate:IECSF08	-	1723 nt	2	-	human	1/5/17	8/13/18
Infectious bronchitis virus	-	complete	strain:Beaudette	2	55072 nt	20	-	"human, vertebrates"	6/12/93	8/13/18
Infectious spleen and kidney necrosis virus	NC_003494	complete	-	-	111362 nt	125	4	"human, vertebrates"	3/28/02	12/20/20
Influenza A virus (A/California/07/2009(H1N1))	-	complete	strain:A/California/07/2009; serotype:H1N1	8	13158 nt	11	-	"human, vertebrates"	2/23/15	8/13/18
Influenza A virus (A/Hong Kong/1073/99(H9N2))	-	complete	strain:A/Hong Kong/1073/99	8	13498 nt	10	-	"human, vertebrates"	6/30/00	8/13/18
Influenza A virus (A/Korea/426/1968(H2N2))	-	complete	strain:A/Korea/426/1968; serotype:H2N2	8	13460 nt	12	-	"human, vertebrates"	8/30/05	8/13/18
Influenza A virus (A/New York/392/2004(H3N2))	-	complete	strain:A/New York/392/2004; serotype:H3N2	8	13627 nt	12	-	"human, vertebrates"	8/30/05	8/13/18
Influenza A virus (A/Puerto Rico/8/1934(H1N1))	-	complete	strain:A/Puerto Rico/8/1934; serotype:H1N1	8	13588 nt	12	-	"human, vertebrates"	11/3/82	8/13/18
Influenza A virus (A/Shanghai/02/2013(H7N9))	-	complete	strain:A/Shanghai/02/2013; serotype:H7N9	8	13191 nt	12	-	"human, vertebrates"	2/4/15	8/13/18
Influenza A virus (A/goose/Guangdong/1/1996(H5N1))	-	complete	strain:A/Goose/Guangdong/1/96(H5N1)	8	13590 nt	12	-	"human, vertebrates"	8/26/05	8/13/18
Influenza B virus (B/Lee/1940)	-	complete	strain:B/Lee/1940	8	14452 nt	10	-	"human, vertebrates"	11/10/99	8/13/18
Influenza C virus (C/Ann Arbor/1/50)	-	complete	strain:C/Ann Arbor/1/50	7	12906 nt	9	-	"human, vertebrates"	9/24/04	8/13/18
Ingwavuma virus	-	complete	isolate:SA An 4165	3	12388 nt	3	-	"human, vertebrates"	6/28/19	8/22/19
JC polyomavirus	NC_001699	complete	strain:Mad1	-	5130 nt	6	691	human	8/2/93	8/13/18
Japanese encephalitis virus	NC_001437	complete	-	-	10976 nt	2	395	"human, invertebrates, vertebrates"	8/2/93	5/24/19
Jingmen tick virus	-	complete	isolate:SY84	4	11579 nt	5	-	"human, invertebrates, vertebrates"	5/16/14	8/13/18
Keystone virus	-	complete	strain:B64-5587.05	3	12455 nt	4	-	"human, invertebrates"	6/28/19	8/22/19
Kyasanur Forest disease virus	NC_039218	complete	-	-	10376 nt	1	27	"human, invertebrates, vertebrates"	8/24/18	5/24/19
LI polyomavirus	NC_034253	complete	isolate:LIPyV	-	5269 nt	5	-	human	4/5/17	8/13/18
La Crosse virus	-	complete	strain:Human/78	3	12491 nt	4	-	"human, invertebrates, vertebrates"	8/13/02	8/13/18
Langat virus	NC_003690	complete	strain:TP21	-	10943 nt	1	4	"human, invertebrates, vertebrates"	6/11/00	5/23/19
Le Dantec virus	NC_034443	complete	strain:DakHD763	-	11450 nt	6	-	human	5/5/17	8/13/18
Lebombo virus	-	complete	isolate:SAAR 3896	10	19247 nt	11	-	human	8/24/18	6/4/19
Lednice virus	-	complete	-	3	12454 nt	3	-	"human, invertebrates"	5/6/23	5/6/23
Louping ill virus	NC_001809	complete	strain:369/T2	-	10871 nt	1	26	"human, invertebrates, vertebrates"	4/29/97	5/23/19
Lyssavirus australis	NC_003243	complete	isolate:insectivorous isolate	-	11822 nt	5	28	"human, vertebrates"	8/10/99	8/13/18
Lyssavirus duvenhage	NC_020810	complete	isolate:86132SA	-	11976 nt	5	4	"human, vertebrates"	3/26/13	8/13/18
Lyssavirus lagos	NC_020807	complete	isolate:0406SEN	-	12016 nt	5	7	"human, vertebrates"	3/26/13	8/13/18
Lyssavirus rabies	NC_001542	complete	-	-	11932 nt	5	2338	"human, vertebrates"	8/3/93	8/13/18
MSSI2.225 virus	NC_024691	complete	isolate:MSSI2.225 (ms23.49)	-	2259 nt	3	3	human	7/28/14	8/13/18
MW polyomavirus	NC_018102	complete	strain:MA095	-	4927 nt	5	21	human	7/5/12	8/13/18
Macacine alphaherpesvirus 1	NC_004812	complete	strain:E2490	-	156789 nt	75	17	"human, vertebrates"	5/22/03	8/13/18
Madariaga virus	NC_023812	complete	strain:MADV/Cebus apella/BRA/BEAN5122/1956	-	11624 nt	2	30	"human, invertebrates, vertebrates"	3/20/14	8/13/18
Madrid virus	-	complete	strain:BT4075	3	12604 nt	4	-	"human, vertebrates"	5/5/17	8/13/18
Maguari virus	-	complete	strain:BeAr 7272	3	12324 nt	5	-	"human, invertebrates, vertebrates"	6/1/21	6/7/21
Maldonado virus	-	complete	strain:FMD 0077	3	12121 nt	4	-	human	6/1/21	6/7/21
Mamastrovirus 1	NC_030922	complete	isolate:V1347	-	6673 nt	2	74	"human, vertebrates"	9/19/16	8/13/18
Mamastrovirus 3	NC_025379	complete	isolate:PAstV-GX1	-	6705 nt	3	15	"human, vertebrates"	10/27/14	9/13/20
Mammalian orthoreovirus 3	-	complete	serotype:3; isolate:MPC/04	10	23176 nt	11	-	"human, vertebrates"	9/15/09	8/13/18
Mammarenavirus chapareense	-	complete	strain:810419	2	10464 nt	4	-	human	4/5/08	8/13/18
Mammarenavirus choriomeningitidis	-	complete	-	4	20660 nt	8	-	"human, vertebrates"	5/6/23	5/7/23
Mammarenavirus guanaritoense	-	complete	strain:INH-95551	2	10424 nt	4	-	"human, vertebrates"	8/30/03	8/13/18
Mammarenavirus juninense	-	complete	strain:XJ13	2	10525 nt	4	-	"human, vertebrates"	8/30/03	8/13/18
Mammarenavirus lassaense	-	complete	strain:Josiah	2	10681 nt	4	-	"human, vertebrates"	3/17/98	8/13/18
Mammarenavirus lujoense	-	complete	-	2	10352 nt	4	-	human	6/4/09	8/13/18
Mammarenavirus machupoense	-	complete	strain:Carvallo	2	10635 nt	4	-	"human, vertebrates"	8/30/03	8/13/18
Marituba virus	-	complete	strain:BeAn15	3	12599 nt	4	-	"human, invertebrates, vertebrates"	5/5/17	8/13/18
Mayaro virus	NC_003417	complete	-	-	11411 nt	4	42	"human, invertebrates, vertebrates"	2/22/02	8/13/18
Measles morbillivirus	NC_001498	complete	strain:Ichinose-B95a	-	15894 nt	8	678	"human, vertebrates"	12/9/98	8/13/18
Melaka orthoreovirus	-	complete	-	10	23410 nt	12	-	"human, vertebrates"	3/5/13	8/13/18
Melao virus	-	complete	strain:TRVL 9375	3	12424 nt	4	-	"human, invertebrates"	6/28/19	8/22/19
Merkel cell polyomavirus	NC_010277	complete	isolate:R17b	-	5387 nt	4	73	human	1/21/08	8/13/18
Middle East respiratory syndrome-related coronavirus	NC_019843	complete	strain:HCoV-EMC; isolate:HCoV-EMC/2012	-	30119 nt	11	672	"human, vertebrates"	12/13/12	8/8/20
Mogiana tick virus	-	complete	isolate:MGTV/V4/11	4	11025 nt	4	-	"human, invertebrates, vertebrates"	3/17/17	8/13/18
Molluscum contagiosum virus subtype 1	NC_001731	complete	-	-	190289 nt	163	15	"human, vertebrates"	8/15/96	12/20/20
Moloney murine leukemia virus	NC_001501	complete	-	-	8332 nt	3	59	"human, vertebrates"	1/21/98	8/13/18
Mongoose feces-associated gemycircularvirus c	NC_026809	complete	strain:541c	-	2123 nt	2	-	"human, vertebrates"	4/16/15	8/13/18
Monkeypox virus	NC_063383	complete	isolate:MPXV-M5312_HM12_Rivers; common:monkeypox	-	197209 nt	179	48	"human, vertebrates"	5/30/22	7/13/22
Monkeypox virus Zaire-96-I-16	NC_003310	complete	strain:Zaire-96-I-16	-	196858 nt	181	48	"human, vertebrates"	12/12/01	7/8/22
Mouse mammary tumor virus	NC_001503	complete	-	-	8805 nt	5	5	"human, vertebrates"	1/21/98	8/13/18
Mumps orthorubulavirus	NC_002200	complete	strain:Miyahara	-	15384 nt	8	806	"human, vertebrates"	4/11/00	1/2/21
Mupapillomavirus 1	NC_001356	complete	type:1a	-	7815 nt	7	1	human	11/3/82	8/13/18
Murine type C retrovirus	NC_001702	complete	-	-	8135 nt	2	59	"human, vertebrates"	12/12/95	8/13/18
Murray Valley encephalitis virus	NC_000943	complete	-	-	11014 nt	2	17	"human, invertebrates, vertebrates"	11/2/99	5/23/19
NY_014 poxvirus	NC_035469	complete	strain:2013	-	200223 nt	197	-	human	8/24/17	12/21/20
Nairobi sheep disease virus	-	complete	isolate:Jilin	3	18748 nt	3	-	"human, invertebrates"	5/1/17	8/13/18
Nepuyo virus	-	complete	isolate:BeAn10709	3	12519 nt	4	-	"human, invertebrates, vertebrates"	5/7/23	5/8/23
New Jersey polyomavirus-2013	NC_024118	complete	isolate:NJ-PyV-2013	-	5108 nt	6	-	human	5/19/14	8/13/18
Norovirus GI	-	complete	strain:Hu/BD/2011/GI.7[PNA2]/Dhaka1882	4	30758 nt	12	-	"human, vertebrates"	9/26/19	10/15/19
Norovirus GI/Hu/JP/2007/GI.P3_GI.3/Shimizu/KK2866	NC_039897	complete	isolate:Shimizu/KK2866	-	7745 nt	3	1659	"human, vertebrates"	11/21/18	7/31/19
Norovirus GII	-	complete	isolate:NORO_176-1_17_12_2015	3	22613 nt	9	-	"human, vertebrates"	2/13/19	8/19/19
Norovirus GII.17	NC_039475	complete	strain:Hu/GII.P17_GII.17/KR/2015/CAU-267	-	7556 nt	3	1659	"human, vertebrates"	10/12/18	8/9/19
Norovirus GII.2	NC_039476	complete	isolate:BJSMQ	-	7536 nt	3	1659	"human, vertebrates"	10/12/18	11/8/18
Norovirus GII/Hu/JP/2007/GII.P15_GII.15/Sapporo/HK299	NC_044045	complete	isolate:Sapporo/HK299	-	7551 nt	3	1659	"human, vertebrates"	7/29/19	7/31/19
Norovirus GII/Hu/JP/2011/GII/Yuzawa/Gira2HS	NC_044046	complete	isolate:Yuzawa/Gira2HS	-	7543 nt	3	1659	"human, vertebrates"	7/29/19	7/31/19
Norovirus GIII	NC_029645	complete	strain:Norovirus Bo/GIII.2/Adam/2006/No	-	7313 nt	3	1659	"human, vertebrates"	3/17/16	8/9/19
Norovirus GIV	-	complete	strain:CU081210E/USA/2010	3	22785 nt	9	-	"human, vertebrates"	2/12/20	2/12/20
Norovirus GV	NC_008311	complete	isolate:Mu/NoV/GV/MNV1/2002/USA	-	7382 nt	4	1659	"human, vertebrates"	8/30/06	8/13/18
Norovirus dog/C33/Viseu/2007/PRT	NC_075733	incomplete	-	-	3357 nt	3	-	"human, vertebrates"	5/4/23	5/5/23
Norovirus dog/GVI.1/HKU_Ca026F/2007/HKG	NC_044047	complete	strain:dog/GVI.1/HKU_Ca026F/2007/HKG	-	7637 nt	3	1659	"human, vertebrates"	7/29/19	8/9/19
Northway virus	-	complete	strain:0234	3	12353 nt	4	-	"human, invertebrates, vertebrates"	5/7/23	5/8/23
Norwalk-like virus	NC_029646	complete	strain:Hu/Norovirus/hiroshima/1999/JP(9912-02F)	-	7518 nt	3	1659	"human, vertebrates"	3/18/16	11/23/18
Omsk hemorrhagic fever virus	NC_005062	complete	strain:Bogoluvovska	-	10787 nt	1	46	"human, invertebrates, vertebrates"	8/12/03	5/23/19
Onyong-nyong virus	NC_001512	complete	-	-	11835 nt	3	3	"human, invertebrates"	8/2/93	8/13/18
Orf virus	NC_005336	complete	strain:OV-SA00; isolate:ORFD	-	139962 nt	130	11	"human, vertebrates"	1/21/04	12/20/20
Oriboca virus	-	complete	strain:BeAn17	3	12259 nt	4	-	"human, invertebrates, vertebrates"	5/5/17	8/13/18
Oropouche virus	-	complete	-	3	11985 nt	4	-	"human, invertebrates, vertebrates"	3/4/04	8/13/18
Orthobunyavirus bwambaense	-	complete	strain:M459	3	12587 nt	4	-	"human, invertebrates"	5/5/17	8/13/18
Orthobunyavirus tacaiumaense	-	complete	strain:BeAn73	3	12162 nt	3	-	"human, vertebrates"	6/28/19	8/22/19
Orthobunyavirus turlockense	-	complete	-	3	12878 nt	4	-	"human, invertebrates"	5/6/23	5/6/23
Orthobunyavirus wyeomyiae	-	complete	strain:original	3	12461 nt	3	-	"human, invertebrates"	8/24/18	6/4/19
Orthohantavirus andesense	-	complete	strain:Chile-9717869	3	12104 nt	4	-	"human, vertebrates"	10/10/00	8/13/18
Orthohantavirus bayoui	-	complete	-	3	12189 nt	3	-	"human, vertebrates"	8/24/18	8/26/18
Orthohantavirus dobravaense	-	complete	strain:DOBV/Ano-Poroia/Afl9/1999	3	11840 nt	3	-	"human, vertebrates"	3/27/03	8/13/18
Orthohantavirus hantanense	-	complete	strain:76-118	3	11845 nt	3	-	"human, vertebrates"	11/15/90	8/13/18
Orthohantavirus negraense	-	incomplete	strain:510B	2	5602 nt	3	-	"human, vertebrates"	8/24/18	8/24/18
Orthohantavirus puumalaense	-	incomplete	-	6	24078 nt	4	-	"human, vertebrates"	5/6/23	5/6/23
Orthohantavirus seoulense	-	complete	strain:80-39	3	11950 nt	3	-	"human, vertebrates"	11/25/03	8/13/18
Orthohantavirus sinnombreense	-	complete	-	6	24635 nt	7	-	"human, vertebrates"	5/6/23	5/7/23
Orthohantavirus tulaense	-	complete	strain:Tula/Moravia/5302Ma/94	3	12066 nt	4	-	"human, vertebrates"	11/20/95	8/13/18
Orthomarburgvirus marburgense	-	complete	isolate:Marburg virus/H.sapiens-tc/KEN/1980/Mt. Elgon-Musoke	2	38225 nt	14	-	"human, vertebrates"	1/26/94	8/13/18
Orthonairovirus haemorrhagiae	-	complete	strain:10200	3	19146 nt	3	-	"human, invertebrates, vertebrates"	12/13/03	8/13/18
Orungo virus	-	complete	isolate:UGMP 359	10	18894 nt	11	-	human	8/24/18	6/4/19
Papiine alphaherpesvirus 2	NC_007653	complete	strain:X313	-	156487 nt	75	6	"human, vertebrates"	12/19/05	8/13/18
Papio ursinus cytomegalovirus	NC_027016	complete	isolate:OCOM4-52	-	226084 nt	84	1	"human, vertebrates"	5/14/15	8/13/18
Parechovirus A	NC_001897	complete	strain:Gregory; serotype:2	-	7348 nt	1	329	"human, vertebrates"	5/25/98	8/13/18
Parvovirus NIH-CQV	NC_022089	complete	isolate:NIH-CQV	-	3780 nt	3	5	"human, vertebrates"	8/17/13	8/13/18
Pegivirus platyrrhini	-	complete	-	2	19203 nt	2	-	"human, vertebrates"	9/23/97	8/13/18
Peste des petits ruminants virus	NC_006383	complete	isolate:Turkey 2000	-	15948 nt	8	136	"human, vertebrates"	10/15/04	8/13/18
Picobirnavirus sp.	-	complete	strain:PBV/roe_deer/SLO/D38-14/2014	2	4297 nt	4	-	"human, vertebrates"	2/12/19	9/13/19
Porcine circovirus 1	NC_001792	complete	-	-	1758 nt	2	81	"human, vertebrates"	9/9/98	8/13/18
Porcine circovirus 2	NC_005148	complete	isolate:AUT1	-	1768 nt	3	3559	"human, vertebrates"	10/29/03	8/13/18
Porcine endogenous retrovirus E	NC_003059	complete	-	-	8072 nt	-	10	"human, vertebrates"	8/12/01	8/13/18
Porcine enterovirus 9	NC_004441	complete	strain:UKG/410/73	-	7388 nt	1	100	"human, vertebrates"	12/16/02	8/13/18
Powassan virus	NC_003687	complete	strain:LB	-	10839 nt	1	267	"human, invertebrates, vertebrates"	7/26/93	5/23/19
PreXMRV-1	NC_007815	complete	-	-	8197 nt	2	10	"human, vertebrates"	3/16/06	8/13/18
Primate T-lymphotropic virus 1	NC_000858	complete	isolate:Tan90	-	9028 nt	4	300	"human, vertebrates"	6/20/99	2/1/22
Primate T-lymphotropic virus 3	NC_003323	complete	isolate:CTO-604	-	8918 nt	5	8	"human, vertebrates"	12/19/01	2/1/22
Pseudocowpox virus	NC_013804	complete	strain:VR634	-	145289 nt	134	1	"human, vertebrates"	2/16/10	12/20/20
Pulau reovirus	-	complete	-	10	23405 nt	12	-	"human, vertebrates"	8/24/18	8/24/18
Punta Toro virus	-	complete	strain:Adames	3	12618 nt	4	-	"human, invertebrates, vertebrates"	8/24/18	8/25/18
RD114 retrovirus	NC_009889	complete	isolate:SC3C	-	8406 nt	2	1	human	10/5/07	8/13/18
Respiratory syncytial virus	NC_001803	complete	strain:S2 ts1C	-	15191 nt	10	38	"human, vertebrates"	3/28/97	8/13/18
Reston ebolavirus	NC_004161	complete	isolate:Reston virus/M.fascicularis-tc/USA/1989/Philippines89-Pennsylvania	-	18891 nt	9	20	"human, vertebrates"	9/4/02	8/13/18
Rhinovirus A	NC_001617	complete	serotype:89	-	7152 nt	1	848	"human, vertebrates"	9/22/93	8/13/18
Rhinovirus C	NC_009996	complete	strain:024	-	7099 nt	1	361	"human, vertebrates"	11/20/07	8/13/18
Rift Valley fever virus	-	complete	strain:ZH-548	3	11979 nt	4	-	"human, invertebrates, vertebrates"	8/11/10	8/13/18
Rocio virus	NC_040776	complete	strain:SPH 34675	-	10794 nt	1	3	"human, invertebrates"	2/12/19	6/3/19
Ross River virus	NC_001544	complete	strain:NB5092	-	11657 nt	3	22	"human, invertebrates, vertebrates"	8/3/93	8/13/18
Rotavirus A	-	complete	strain:RVA/Simian-tc/ZAF/SA11-H96/1958/G3P5B[2]; serotype:G3	11	18562 nt	12	-	"human, vertebrates"	10/30/08	8/13/18
Rotavirus C	-	complete	strain:Bristol; isolate:4077-89	11	17910 nt	11	-	"human, vertebrates"	5/10/93	8/13/18
Rubella virus	NC_001545	complete	strain:F-Therien	-	9762 nt	2	159	human	8/3/93	8/13/18
SARS coronavirus Tor2	NC_004718	complete	isolate:Tor2	-	29751 nt	15	366	"human, vertebrates"	4/14/03	11/20/20
SFTS virus HB29	-	complete	strain:HB29	3	11490 nt	4	-	"human, invertebrates, vertebrates"	7/13/12	8/13/18
STL polyomavirus	NC_020106	complete	strain:MA138	-	4776 nt	6	6	human	1/11/13	8/13/18
Sabia virus	-	complete	strain:SPH114202	2	10499 nt	4	-	human	9/24/04	8/13/18
Saffold virus	NC_009448	complete	-	-	8115 nt	2	44	"human, vertebrates"	5/9/07	8/13/18
Salivirus A	NC_012986	complete	serotype:1; isolate:02394-01	-	7989 nt	1	10	"human, vertebrates"	7/20/09	8/13/18
Salivirus FHB	NC_025114	complete	isolate:SaliV-FHB	-	7998 nt	1	-	human	9/29/14	8/13/18
Salivirus NG-J1	NC_012957	complete	strain:NG-J1	-	7982 nt	1	10	"human, vertebrates"	7/13/09	8/13/18
Sapovirus C12	NC_006554	complete	strain:C12	-	7476 nt	2	200	"human, vertebrates"	12/17/04	8/13/18
Sapovirus Hu/Dresden/pJG-Sap01/DE	NC_006269	complete	strain:Hu/Dresden/pJG-Sap01/DE	-	7429 nt	3	200	"human, vertebrates"	9/9/04	8/13/18
Sapovirus Hu/Nagoya/NGY-1/2012/JPN	NC_027026	complete	strain:Hu/SaV/Nagoya/NGY-1/2012/JPN	-	7521 nt	2	200	"human, vertebrates"	5/14/15	8/13/18
Sapovirus Mc10	NC_010624	complete	strain:Mc10	-	7458 nt	2	200	"human, vertebrates"	6/5/04	8/13/18
Semliki Forest virus	NC_003215	complete	-	-	11442 nt	3	12	"human, invertebrates, vertebrates"	3/9/87	8/13/18
Severe acute respiratory syndrome coronavirus 2	NC_045512	complete	isolate:Wuhan-Hu-1	-	29903 nt	12	366	"human, vertebrates"	1/13/20	7/18/20
Severe fever with thrombocytopenia syndrome virus	-	complete	strain:HNXH	3	11272 nt	4	-	"human, invertebrates, vertebrates"	6/28/19	6/28/19
Sewage-associated gemycircularvirus 5	NC_026161	complete	isolate:BS3963	-	2243 nt	3	-	human	1/13/15	8/13/18
Sewage-associated gemycircularvirus-10a	NC_026169	complete	isolate:BS3980	-	2249 nt	3	3	human	1/13/15	8/13/18
Shokwe virus	-	complete	strain:SAAr 4042	3	12228 nt	4	-	"human, invertebrates, vertebrates"	5/7/23	5/8/23
Simian Agent 10	NC_038270	complete	-	-	15462 nt	8	436	"human, vertebrates"	8/24/18	8/24/18
Simian T-lymphotropic virus 2	NC_001815	complete	strain:PP1664; isolate:STLV-2PP1664	-	8855 nt	7	15	"human, vertebrates"	4/29/98	8/13/18
Simian foamy virus	NC_001364	complete	-	-	13246 nt	6	-	"human, vertebrates"	7/5/94	8/13/18
Simian immunodeficiency virus	NC_001549	complete	isolate:677	-	9623 nt	6	547	"human, vertebrates"	8/3/93	8/13/18
Simian immunodeficiency virus SIV-mnd 2	NC_004455	complete	isolate:SIVmnd-2	-	9518 nt	8	547	"human, vertebrates"	12/20/02	8/13/18
Simian pegivirus	NC_024377	complete	strain:SPgVkrc; isolate:SPgVkrc_RC08	-	9525 nt	1	69	"human, vertebrates"	6/24/14	8/13/18
Simian retrovirus 4	NC_014474	complete	strain:SRV4/TEX/2009/V1	-	8126 nt	4	4	"human, vertebrates"	9/8/10	8/13/18
Sindbis virus	NC_001547	complete	-	-	11703 nt	4	233	"human, invertebrates, vertebrates"	8/3/93	8/13/18
Small anellovirus 1	NC_007013	complete	-	-	2249 nt	3	-	"human, vertebrates"	5/21/05	8/13/18
Small anellovirus 2	NC_007014	complete	-	-	2635 nt	5	-	"human, vertebrates"	5/21/05	8/13/18
Sosuga virus	NC_025343	complete	isolate:2012	-	15480 nt	7	-	"human, vertebrates"	10/27/14	8/13/18
Spondweni virus	NC_029055	complete	strain:SM-6 V-1	-	10290 nt	1	15	"human, invertebrates"	2/5/16	8/1/19
St. Louis encephalitis virus	NC_007580	complete	strain:Kern217	-	10940 nt	1	42	"human, invertebrates, vertebrates"	11/4/05	5/24/19
Sudan ebolavirus	NC_006432	complete	isolate:Sudan virus/H.sapiens-tc/UGA/2000/Gulu-808892	-	18875 nt	9	23	"human, vertebrates"	11/15/04	8/13/18
Suid alphaherpesvirus 1	NC_006151	complete	strain:Composite of 6 strains	-	143461 nt	69	107	"human, vertebrates"	8/26/04	8/13/18
TTV-like mini virus	NC_020498	complete	isolate:TTMV_LY1	-	2912 nt	3	11	"human, vertebrates"	3/25/13	8/13/18
Tacheng Tick Virus 2	-	complete	strain:TC252	2	8844 nt	2	-	"human, invertebrates, vertebrates"	6/1/21	6/7/21
Tahyna virus	-	complete	strain:XJ0625	3	12446 nt	4	-	"human, invertebrates"	6/1/21	6/7/21
Tai Forest ebolavirus	NC_014372	complete	isolate:Tai Forest virus/H.sapiens-tc/CIV/1994/Pauleoula-CI	-	18935 nt	9	2	"human, vertebrates"	8/5/10	8/13/18
Tataguine virus	-	complete	strain:H9963	3	12052 nt	3	-	"human, invertebrates"	6/28/19	6/28/19
Tembusu virus	NC_015843	complete	strain:JS804	-	10990 nt	1	171	"human, invertebrates, vertebrates"	7/15/11	8/13/18
Theilovirus	NC_001366	complete	strain:GDVII; sub-species:Theiler's encephalomyelitis virus	-	8101 nt	3	44	"human, vertebrates"	11/14/90	8/13/18
Thogotovirus dhoriense	-	incomplete	isolate:Dhori/1313/61	6	10616 nt	6	-	human	4/5/17	8/13/18
Tibrovirus congo	NC_043067	incomplete	isolate:BASV-1	-	11892 nt	8	-	human	6/28/19	6/28/19
Tick-borne encephalitis virus	NC_001672	complete	-	-	11141 nt	1	246	"human, invertebrates, vertebrates"	9/5/95	5/23/19
Torque teno midi virus 1	NC_009225	complete	isolate:MD1-032	-	3245 nt	4	1	human	3/27/07	8/13/18
Torque teno midi virus 10	NC_038357	complete	isolate:MDJN14	-	3175 nt	4	1	human	8/24/18	8/24/18
Torque teno midi virus 11	NC_038358	complete	isolate:MDJN47	-	3198 nt	4	-	human	8/24/18	8/24/18
Torque teno midi virus 12	NC_038359	complete	isolate:MDJN51	-	3187 nt	4	-	human	8/24/18	8/24/18
Torque teno midi virus 13	NC_038360	complete	isolate:MDJN69	-	3230 nt	4	-	human	8/24/18	8/24/18
Torque teno midi virus 14	NC_038361	complete	isolate:MDJN97	-	3223 nt	4	-	human	8/24/18	8/24/18
Torque teno midi virus 2	NC_014093	complete	isolate:MD2-013	-	3253 nt	4	-	human	4/30/10	8/13/18
Torque teno midi virus 3	NC_038350	complete	isolate:2PoSMA	-	2002 nt	2	-	human	8/24/18	8/24/18
Torque teno midi virus 4	NC_038351	complete	isolate:6PoSMA	-	2454 nt	3	-	human	8/24/18	8/24/18
Torque teno midi virus 5	NC_038352	complete	isolate:MDJHem2	-	3208 nt	4	-	human	8/24/18	8/24/18
Torque teno midi virus 6	NC_038353	complete	isolate:MDJHem3-1	-	3198 nt	4	-	human	8/24/18	8/24/18
Torque teno midi virus 7	NC_038354	complete	isolate:MDJHem3-2	-	3197 nt	4	-	human	8/24/18	8/24/18
Torque teno midi virus 8	NC_038355	complete	isolate:MDJN1	-	3223 nt	4	-	human	8/24/18	8/24/18
